Date,Year, Day ,DayWeek,Vehicles,Drivers,Trips, RevPerTrips ,TripsPerCar, IncomePerCar ,TripsPerDriver, IncomePerDriver , Distance , PaidDistance ,RevKM, ShiftIncome , ShiftTolls , Income-Tolls , OperatingCost , CostPerKm , YieldPerRevKm 
,,,,Number of vehicles in this day,Number of drivers,number of trips, total revenue/total trips ,total trips / total car, total incom/total car ,total trips/total driver, total incom/total driver , total km in this day , total paid KM , total paid KM/total KM , Total income in this day , road fees , total incom - road fees ,,,
1/1/2021,2021, 1 ,Fri," 4,996 "," 7,737 "," 120,745 ", 33 , 24 , 795 , 16 , 513 ," 2,878,696 "," 1,596,844 ",0.554710882983128," 4,135,264 "," 164,124 "," 3,971,139.88 "," 489,378.32 ", 0.17 , 0.38 
1/2/2021,2021, 2 ,Sat," 4,955 "," 7,621 "," 104,004 ", 33 , 21 , 683 , 14 , 444 ," 2,534,566 "," 1,360,274 ",0.536689121530076," 3,530,878 "," 145,320 "," 3,385,557.60 "," 430,876.22 ", 0.17 , 0.37 
1/3/2021,2021, 3 ,Sun," 4,949 "," 7,606 "," 105,960 ", 30 , 21 , 642 , 14 , 418 ," 2,418,782 "," 1,274,102 ",0.526753547860039," 3,334,281 "," 156,768 "," 3,177,513.04 "," 411,192.94 ", 0.17 , 0.36 
1/4/2021,2021, 4 ,Mon," 4,974 "," 7,628 "," 101,534 ", 30 , 20 , 617 , 13 , 402 ," 2,363,776 "," 1,223,709 ",0.51769245478421," 3,216,162 "," 149,404 "," 3,066,758.24 "," 401,841.92 ", 0.17 , 0.35 
1/5/2021,2021, 5 ,Tue," 4,962 "," 7,629 "," 100,834 ", 28 , 20 , 572 , 13 , 372 ," 2,231,463 "," 1,136,050 ",0.509105461304982," 2,975,061 "," 135,972 "," 2,839,089.32 "," 379,348.71 ", 0.17 , 0.34 
1/6/2021,2021, 6 ,Wed," 4,888 "," 7,543 "," 99,742 ", 29 , 20 , 586 , 13 , 380 ," 2,261,198 "," 1,147,014 ",0.507259426197971," 3,001,356 "," 136,748 "," 2,864,608.08 "," 384,403.66 ", 0.17 , 0.34 
1/7/2021,2021, 7 ,Thu," 4,746 "," 7,324 "," 103,209 ", 26 , 22 , 576 , 14 , 373 ," 2,148,542 "," 1,089,484 ",0.507080615598857," 2,863,651 "," 130,264 "," 2,733,387.02 "," 365,252.14 ", 0.17 , 0.34 
1/8/2021,2021, 8 ,Fri," 4,525 "," 7,088 "," 95,186 ", 30 , 21 , 634 , 13 , 405 ," 2,205,967 "," 1,149,860 ",0.521249864571864," 3,000,421 "," 131,872 "," 2,868,548.88 "," 375,014.39 ", 0.17 , 0.35 
1/9/2021,2021, 9 ,Sat," 4,469 "," 6,996 "," 90,611 ", 32 , 20 , 640 , 13 , 409 ," 2,268,099 "," 1,147,633 ",0.50598893610905," 2,983,989 "," 124,520 "," 2,859,468.75 "," 385,576.83 ", 0.17 , 0.34 
1/10/2021,2021, 10 ,Sun," 4,356 "," 6,880 "," 92,336 ", 29 , 21 , 612 , 13 , 387 ," 2,100,021 "," 1,059,743 ",0.504634477464749," 2,792,139 "," 127,720 "," 2,664,419.17 "," 357,003.57 ", 0.17 , 0.33 
1/11/2021,2021, 11 ,Mon," 4,286 "," 6,797 "," 88,438 ", 29 , 21 , 593 , 13 , 374 ," 2,016,524 "," 1,013,274 ",0.502485465087448," 2,661,666 "," 119,920 "," 2,541,746.35 "," 342,809.08 ", 0.17 , 0.33 
1/12/2021,2021, 12 ,Tue," 4,185 "," 6,765 "," 86,808 ", 27 , 21 , 566 , 13 , 350 ," 1,922,430 "," 950,186 ",0.49426299006986," 2,477,721 "," 109,172 "," 2,368,548.99 "," 326,813.10 ", 0.17 , 0.32 
1/13/2021,2021, 13 ,Wed," 4,150 "," 6,867 "," 87,456 ", 28 , 21 , 580 , 13 , 350 ," 1,937,516 "," 960,798 ",0.495891646830271," 2,515,112 "," 108,984 "," 2,406,128.01 "," 329,377.72 ", 0.17 , 0.33 
1/14/2021,2021, 14 ,Thu," 4,146 "," 7,001 "," 94,104 ", 25 , 23 , 571 , 13 , 338 ," 1,907,742 "," 944,552 ",0.495115167564587," 2,477,170 "," 109,556 "," 2,367,614.39 "," 324,316.14 ", 0.17 , 0.33 
1/15/2021,2021, 15 ,Fri," 4,124 "," 7,121 "," 88,928 ", 29 , 22 , 635 , 12 , 368 ," 2,080,488 "," 1,055,410 ",0.507289635893117," 2,734,506 "," 115,664 "," 2,618,841.94 "," 353,682.96 ", 0.17 , 0.34 
1/16/2021,2021, 16 ,Sat," 4,110 "," 7,143 "," 87,349 ", 30 , 21 , 636 , 12 , 366 ," 2,146,724 "," 1,056,780 ",0.492275672140434," 2,724,527 "," 109,644 "," 2,614,882.84 "," 364,943.08 ", 0.17 , 0.32 
1/17/2021,2021, 17 ,Sun," 4,117 "," 7,255 "," 90,934 ", 28 , 22 , 615 , 13 , 349 ," 2,054,047 "," 1,009,143 ",0.491294989842005," 2,649,547 "," 118,668 "," 2,530,879.03 "," 349,187.99 ", 0.17 , 0.32 
1/18/2021,2021, 18 ,Mon," 4,133 "," 7,317 "," 87,384 ", 28 , 21 , 595 , 12 , 336 ," 2,018,940 "," 986,827 ",0.488784708807592," 2,572,039 "," 113,948 "," 2,458,090.96 "," 343,219.80 ", 0.17 , 0.32 
1/19/2021,2021, 19 ,Tue," 4,136 "," 7,346 "," 86,503 ", 27 , 21 , 556 , 12 , 313 ," 1,929,839 "," 927,032 ",0.480367533250183," 2,403,134 "," 104,452 "," 2,298,682.31 "," 328,072.63 ", 0.17 , 0.31 
1/20/2021,2021, 20 ,Wed," 4,145 "," 7,420 "," 84,729 ", 30 , 20 , 609 , 11 , 340 ," 2,095,568 "," 1,015,989 ",0.484827502615043," 2,639,869 "," 116,200 "," 2,523,669.28 "," 356,246.56 ", 0.17 , 0.31 
1/21/2021,2021, 21 ,Thu," 4,150 "," 7,489 "," 91,846 ", 23 , 22 , 505 , 12 , 280 ," 1,725,981 "," 835,472 ",0.484056313482014," 2,192,863 "," 96,212 "," 2,096,651.12 "," 293,416.77 ", 0.17 , 0.31 
1/22/2021,2021, 22 ,Fri," 4,125 "," 7,479 "," 84,953 ", 29 , 21 , 606 , 11 , 334 ," 2,053,413 "," 1,006,568 ",0.490192669472727," 2,609,883 "," 111,852 "," 2,498,030.66 "," 349,080.21 ", 0.17 , 0.32 
1/23/2021,2021, 23 ,Sat," 4,125 "," 7,469 "," 83,560 ", 29 , 20 , 596 , 11 , 329 ," 2,091,701 "," 994,810 ",0.475598567864145," 2,558,915 "," 101,700 "," 2,457,215.22 "," 355,589.17 ", 0.17 , 0.31 
1/24/2021,2021, 24 ,Sun," 4,141 "," 7,474 "," 86,100 ", 27 , 21 , 571 , 12 , 316 ," 1,991,974 "," 945,260 ",0.474534306170663," 2,473,169 "," 110,492 "," 2,362,676.61 "," 338,635.58 ", 0.17 , 0.30 
1/25/2021,2021, 25 ,Mon," 4,145 "," 7,471 "," 84,276 ", 27 , 20 , 556 , 11 , 309 ," 1,953,089 "," 922,056 ",0.472101373772521," 2,409,552 "," 103,580 "," 2,305,971.89 "," 332,025.13 ", 0.17 , 0.30 
1/26/2021,2021, 26 ,Tue," 4,126 "," 7,431 "," 85,482 ", 26 , 21 , 545 , 12 , 302 ," 1,896,939 "," 897,348 ",0.473050530354429," 2,346,324 "," 99,428 "," 2,246,896.07 "," 322,479.63 ", 0.17 , 0.30 
1/27/2021,2021, 27 ,Wed," 4,136 "," 7,452 "," 87,781 ", 27 , 21 , 569 , 12 , 316 ," 1,982,266 "," 948,267 ",0.478375253371646," 2,457,245 "," 105,876 "," 2,351,369.31 "," 336,985.22 ", 0.17 , 0.31 
1/28/2021,2021, 28 ,Thu," 4,156 "," 7,490 "," 93,785 ", 25 , 23 , 563 , 13 , 313 ," 1,929,417 "," 936,214 ",0.485231549219272," 2,446,439 "," 105,608 "," 2,340,831.02 "," 328,000.89 ", 0.17 , 0.32 
1/29/2021,2021, 29 ,Fri," 4,156 "," 7,512 "," 90,171 ", 29 , 22 , 626 , 12 , 346 ," 2,116,839 "," 1,058,151 ",0.499873159933278," 2,710,885 "," 110,668 "," 2,600,216.61 "," 359,862.63 ", 0.17 , 0.33 
1/30/2021,2021, 30 ,Sat," 4,138 "," 7,488 "," 92,132 ", 28 , 22 , 622 , 12 , 344 ," 2,135,039 "," 1,044,062 ",0.489013081259874," 2,679,172 "," 106,272 "," 2,572,899.77 "," 362,956.63 ", 0.17 , 0.32 
1/31/2021,2021, 31 ,Sun," 4,134 "," 7,422 "," 93,477 ", 27 , 23 , 615 , 13 , 342 ," 2,069,127 "," 1,020,023 ",0.492972640152103," 2,654,902 "," 114,508 "," 2,540,393.53 "," 351,751.59 ", 0.17 , 0.32 
2/1/2021,2021, 1 ,Mon," 4,132 "," 7,427 "," 89,566 ", 27 , 22 , 594 , 12 , 330 ," 1,996,704 "," 979,979 ",0.490798335657163," 2,559,977 "," 107,628 "," 2,452,349.40 "," 339,439.68 ", 0.17 , 0.32 
2/2/2021,2021, 2 ,Tue," 4,131 "," 7,354 "," 88,224 ", 26 , 21 , 564 , 12 , 317 ," 1,933,416 "," 936,148 ",0.484193779300471," 2,432,844 "," 101,560 "," 2,331,284.35 "," 328,680.72 ", 0.17 , 0.31 
2/3/2021,2021, 3 ,Wed," 4,128 "," 7,388 "," 87,587 ", 26 , 21 , 559 , 12 , 313 ," 1,930,475 "," 930,958 ",0.48224297128945," 2,410,858 "," 101,644 "," 2,309,214.47 "," 328,180.75 ", 0.17 , 0.31 
2/4/2021,2021, 4 ,Thu," 4,152 "," 7,428 "," 93,895 ", 25 , 23 , 558 , 13 , 312 ," 1,921,852 "," 926,405 ",0.482037638694343," 2,420,400 "," 102,804 "," 2,317,596.01 "," 326,714.84 ", 0.17 , 0.31 
2/5/2021,2021, 5 ,Fri," 4,133 "," 7,370 "," 87,252 ", 28 , 21 , 595 , 12 , 334 ," 2,031,581 "," 996,972 ",0.490737017130993," 2,563,278 "," 104,544 "," 2,458,734.39 "," 345,368.77 ", 0.17 , 0.32 
2/6/2021,2021, 6 ,Sat," 4,123 "," 7,359 "," 87,130 ", 28 , 21 , 595 , 12 , 333 ," 2,067,516 "," 994,389 ",0.48095830939156," 2,551,893 "," 99,296 "," 2,452,596.92 "," 351,477.72 ", 0.17 , 0.31 
2/7/2021,2021, 7 ,Sun," 4,137 "," 7,369 "," 87,455 ", 27 , 21 , 569 , 12 , 319 ," 1,950,888 "," 942,031 ",0.482872927610401," 2,456,405 "," 104,440 "," 2,351,965.44 "," 331,650.96 ", 0.17 , 0.31 
2/8/2021,2021, 8 ,Mon," 4,140 "," 7,351 "," 83,870 ", 27 , 20 , 547 , 11 , 308 ," 1,916,281 "," 907,853 ",0.473757763083807," 2,362,689 "," 99,492 "," 2,263,197.25 "," 325,767.77 ", 0.17 , 0.30 
