date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,21.7,17.8,26.6,0,,71,9.4,,1017.4,
2021-01-02,21.4,16.6,26.2,0,,32,9.1,,1018.2,
2021-01-03,20.6,16.7,24.8,0,,33,9.4,,1017,
2021-01-04,19.8,14.4,24.9,0,,67,10.9,,1016.7,
2021-01-05,19.8,14,25.3,0,,57,8.8,,1018.2,
2021-01-06,20.2,14.2,24.6,0,,52,7.9,,1019,
2021-01-07,19.3,14.6,24,0,,61,14.4,,1019.1,
2021-01-08,18.9,14.4,24,0,,78,15.9,,1019.8,
2021-01-09,18.4,12.8,24.1,0,,84,12.4,,1019.6,
2021-01-10,18.9,13.2,24.8,0,,65,11.5,,1018.9,
2021-01-11,19,12.7,24.2,0,,51,9.1,,1019,
2021-01-12,19,13.2,24,0,,336,9.3,,1019.3,
2021-01-13,19.3,13.4,24.3,0,,227,8.4,,1018.2,
2021-01-14,19.6,15,23.5,0,,228,10.8,,1016.2,
2021-01-15,19.7,14.5,24,0,,237,9.6,,1015.1,
2021-01-16,19.4,14.6,23.4,0,,222,9,,1013.9,
2021-01-17,19.7,14,25.5,0,,209,7.9,,1013,
2021-01-18,21.8,16.3,27.5,0,,248,8.1,,1014.7,
2021-01-19,20.7,16.6,26,0,,228,9.7,,1016.4,
2021-01-20,20.9,16.3,26.1,0,,222,8.4,,1016.7,
2021-01-21,19.9,15,24.3,0,,236,14,,1017.1,
2021-01-22,19.9,18,22.6,0,,270,17.7,,1018.2,
2021-01-23,19.9,15.4,25.4,0,,69,14.7,,1019.5,
2021-01-24,20.4,16.4,24,0,,30,12,,1019.3,
2021-01-25,20.2,15.5,24,0,,345,9.6,,1019.1,
2021-01-26,20.6,15.6,24.6,0,,242,12.2,,1018.4,
2021-01-27,20.4,16,26,0,,218,11.5,,1017.5,
2021-01-28,21.2,15.9,27.5,0,,67,8.9,,1018.1,
2021-01-29,21.7,15.8,28.6,0,,86,9,,1017.6,
2021-01-30,22.8,17.8,28.7,0,,133,12.2,,1016.4,
